T,T_H,H,H_E,E,E_SPACE,SPACE,SPACE_Q,Q,Q_U,U,U_I,I,I_C,C,C_K,K,K_SPACE,SPACE,SPACE_B,B,B_R,R,R_O,O,O_W,W,W_N,N,N_SPACE,SPACE,SPACE_F,F,F_O,O,O_X,X,X_SPACE,SPACE,SPACE_J,J,J_U,U,U_M,M,M_P,P,P_S,S,S_SPACE,SPACE,SPACE_O,O,O_V,V,V_E,E,E_R,R,R_SPACE,SPACE,SPACE_T,T,T_H,H,H_E,E,E_SPACE,SPACE,SPACE_L,L,L_A,A,A_Z,Z,Z_Y,Y,Y_SPACE,SPACE,SPACE_D,D,D_O,O,O_G,G,CLASS
-0.111,-0.045,-0.111,-0.029,-0.083,-0.027,-0.109,-0.024,-0.093,-0.017,-0.114,-0.068,-0.113,0,-0.087,-0.001,-0.135,-0.093,-0.067,-0.113,-0.091,-0.02,-0.158,0,-0.109,-0.025,-0.112,-0.001,-0.135,-0.069,-0.111,-0.001,-0.087,-0.048,-0.088,-0.044,-0.136,-0.02,-0.117,-0.087,-0.088,-0.092,-0.092,-0.132,-0.136,-0.113,-0.111,-0.045,-0.157,-0.001,-0.089,-0.09,-0.092,-0.02,-0.113,-0.023,-0.111,-0.024,-0.088,-0.044,-0.112,-0.028,-0.064,-0.044,-0.092,-0.044,-0.11,-0.026,-0.092,-0.089,-0.177,-0.001,-0.091,-0.089,-0.091,-0.045,-0.111,-0.069,-0.087,-0.024,-0.092,-0.025,-0.107,-0.024,-0.112,1
-0.112,-0.068,-0.112,-0.02,-0.092,-0.02,-0.136,-0.024,-0.068,-0.045,-0.087,-0.068,-0.113,-0.045,-0.09,-0.024,-0.088,-0.093,-0.091,-0.089,-0.111,-0.001,-0.087,-0.024,-0.113,0,-0.091,-0.02,-0.097,-0.087,-0.152,-0.027,-0.091,-0.021,-0.111,-0.049,-0.117,-0.001,-0.087,-0.112,-0.068,-0.092,-0.088,-0.114,-0.11,-0.048,-0.132,-0.024,-0.068,0,-0.088,-0.097,-0.161,-0.019,-0.072,-0.024,-0.132,0,-0.112,-0.028,-0.081,-0.028,-0.087,-0.048,-0.088,-0.001,-0.091,-0.02,-0.092,-0.069,-0.157,-0.026,-0.091,-0.088,-0.072,-0.038,-0.098,-0.066,-0.086,-0.069,-0.087,-0.001,-0.115,-0.065,-0.091,1
-0.111,-0.068,-0.112,-0.02,-0.094,-0.042,-0.092,-0.068,-0.092,0,-0.092,-0.084,-0.112,-0.045,-0.091,-0.024,-0.092,-0.089,-0.111,-0.086,-0.094,0,-0.088,-0.024,-0.113,-0.026,-0.091,-0.049,-0.087,-0.089,-0.181,-0.001,-0.087,-0.024,-0.112,-0.044,-0.09,0,-0.118,-0.128,-0.068,-0.092,-0.088,-0.137,-0.091,-0.089,-0.111,-0.024,-0.094,0,-0.086,-0.089,-0.095,0,-0.065,-0.019,-0.111,-0.044,-0.112,-0.044,-0.092,-0.028,-0.084,-0.028,-0.084,-0.024,-0.086,0,-0.094,-0.088,-0.181,-0.001,-0.067,-0.088,-0.068,-0.045,-0.091,-0.069,-0.111,-0.001,-0.111,-0.044,-0.118,-0.016,-0.089,1
-0.11,-0.093,-0.09,-0.023,-0.111,-0.024,-0.112,-0.001,-0.111,-0.02,-0.092,-0.112,-0.112,-0.024,-0.087,-0.025,-0.112,-0.068,-0.086,-0.123,-0.083,-0.024,-0.088,-0.044,-0.136,-0.024,-0.088,-0.024,-0.092,-0.088,-0.112,-0.028,-0.108,-0.066,-0.114,-0.088,-0.157,-0.023,-0.135,-0.069,-0.087,-0.091,-0.089,-0.116,-0.112,-0.07,-0.11,-0.001,-0.087,-0.024,-0.088,-0.069,-0.091,-0.001,-0.069,-0.043,-0.131,-0.068,-0.112,-0.048,-0.112,0,-0.065,-0.045,-0.09,-0.028,-0.108,-0.001,-0.091,-0.088,-0.184,-0.001,-0.06,-0.12,-0.064,-0.065,-0.091,-0.069,-0.109,-0.001,-0.113,-0.024,-0.112,-0.044,-0.112,1
-0.111,-0.048,-0.088,-0.025,-0.087,-0.024,-0.112,-0.044,-0.092,-0.02,-0.092,-0.072,-0.108,-0.025,-0.113,-0.001,-0.111,-0.092,-0.09,-0.09,-0.207,-0.001,-0.083,-0.024,-0.113,-0.001,-0.091,-0.024,-0.088,-0.069,-0.086,-0.001,-0.092,-0.024,-0.088,-0.045,-0.114,0,-0.094,-0.084,-0.068,-0.092,-0.088,-0.113,-0.111,-0.048,-0.132,-0.024,-0.092,-0.019,-0.094,-0.061,-0.179,-0.001,-0.087,-0.023,-0.112,-0.024,-0.088,-0.049,-0.136,-0.023,-0.092,-0.044,-0.112,0,-0.088,-0.024,-0.071,-0.109,-0.178,-0.023,-0.067,-0.113,-0.087,-0.813,-0.111,-0.205,-0.087,-0.044,-0.092,-0.089,-0.135,-0.113,-0.089,1
-0.111,-0.113,-0.117,-0.131,-0.091,-0.133,-0.091,-0.02,-0.072,-1.033,-0.111,-0.136,-0.092,-0.045,-0.087,-0.024,-0.11,-0.115,-0.111,-0.181,-0.111,-0.049,-0.131,-1.036,-0.136,-0.38,-0.116,-0.113,-0.111,-0.088,-0.112,-0.048,-0.112,-0.088,-0.137,-0.091,-0.112,-0.044,-0.112,-0.156,-0.092,-0.072,-0.108,-0.113,-0.111,-0.181,-0.112,-0.111,-0.092,-0.089,-0.091,-0.157,-0.111,-0.068,-0.098,-0.174,-0.112,-0.112,-0.092,-0.089,-0.111,-0.069,-0.115,-0.04,-0.118,-0.11,-0.088,-0.024,-0.112,-0.181,-0.111,-0.045,-0.067,-0.225,-0.067,-0.111,-0.093,-0.156,-0.112,-0.069,-0.111,-0.093,-0.115,-0.109,-0.115,2
-0.109,-0.07,-0.112,-0.136,-0.112,-0.069,-0.112,-0.112,-0.111,-0.092,-0.088,-0.09,-0.114,-0.112,-0.116,-0.064,-0.088,-0.112,-0.116,-0.18,-0.118,-0.06,-0.138,-0.156,-0.112,-0.252,-0.108,-0.072,-0.084,-0.094,-0.086,-0.092,-0.116,-0.064,-0.092,-0.112,-0.108,-0.068,-0.096,-0.136,-0.083,-0.093,-0.088,-0.136,-0.112,-0.224,-0.112,-0.092,-0.088,-0.092,-0.086,-0.162,-0.088,-0.092,-0.088,-0.18,-0.092,-0.113,-0.111,-0.138,-0.114,-0.133,-0.087,-0.049,-0.111,-0.089,-0.087,-0.029,-0.111,-0.157,-0.109,-0.022,-0.112,-0.205,-0.091,-0.065,-0.091,-0.18,-0.088,-0.097,-0.109,-0.091,-0.111,-0.113,-0.087,2
-0.087,-0.068,-0.112,-0.092,-0.088,-0.07,-0.11,-0.112,-0.092,-0.088,-0.112,-0.092,-0.112,-0.088,-0.116,-0.021,-0.112,-0.091,-0.112,-0.136,-0.088,-0.044,-0.116,-0.18,-0.112,-0.268,-0.112,-0.072,-0.088,-0.088,-0.116,-0.065,-0.091,-0.089,-0.111,-0.139,-0.066,-0.088,-0.095,-0.136,-0.068,-0.084,-0.092,-0.16,-0.084,-0.608,-0.116,-0.496,-0.085,-0.071,-0.088,-0.18,-0.096,-0.108,-0.088,-0.224,-0.092,-0.11,-0.094,-0.11,-0.07,-0.068,-0.088,-0.068,-0.14,-0.06,-0.092,-0.068,-0.112,-0.181,-0.091,-0.02,-0.092,-0.132,-0.092,-0.068,-0.112,-0.137,-0.111,-0.248,-0.112,-0.088,-0.092,-0.088,-0.092,2
-0.109,-0.028,-0.13,-0.112,-0.092,-0.044,-0.112,-0.136,-0.112,-0.068,-0.092,-0.113,-0.085,-0.07,-0.092,-0.064,-0.116,-0.112,-0.092,-0.132,-0.112,-0.024,-0.112,-0.138,-0.11,-0.069,-0.111,-0.089,-0.091,-0.088,-0.092,-0.088,-0.092,-0.088,-0.114,-0.044,-0.09,-0.072,-0.088,-0.132,-0.068,-0.092,-0.088,-0.092,-0.112,-0.157,-0.111,-0.093,-0.067,-0.064,-0.116,-0.132,-0.092,-0.044,-0.092,-0.2,-0.09,-0.09,-0.112,-0.069,-0.091,-0.088,-0.092,-0.044,-0.088,-0.068,-0.092,-0.02,-0.116,-0.156,-0.112,-0.025,-0.087,-0.524,-0.084,-0.044,-0.092,-0.201,-0.067,-0.072,-0.088,-0.089,-0.111,-0.136,-0.092,2
-0.091,-0.088,-0.088,-0.136,-0.068,-0.094,-0.086,-0.112,-0.092,-0.068,-0.112,-0.088,-0.112,-0.048,-0.088,-0.044,-0.112,-0.118,-0.086,-0.136,-0.088,-0.069,-0.111,-0.112,-0.092,-0.112,-0.112,-0.092,-0.085,-0.115,-0.092,-0.136,-0.064,-0.116,-0.116,-0.064,-0.112,-0.044,-0.088,-0.136,-0.092,-0.068,-0.112,-0.112,-0.088,-0.18,-0.112,-0.068,-0.092,-0.07,-0.11,-0.14,-0.108,-0.044,-0.088,-0.16,-0.112,-0.089,-0.091,-0.113,-0.091,-0.044,-0.088,-0.048,-0.112,-0.088,-0.091,-0.069,-0.088,-0.18,-0.112,-0.024,-0.111,-0.181,-0.068,-0.044,-0.111,-0.137,-0.088,-0.068,-0.112,-0.093,-0.088,-0.115,-0.092,2
